name,num of posts,num of followers,num of following
udemy,716,3M,134
coursera,"1,144",573K,215
datacamp,"1,207",199K,70
linkedinlearning,522,128K,65
skillshare,"3,274",615K,912
udacity,528,85.3K,913
edxonline,542,150K,110
